ajed	আজেদ
basar	বসার
sakinabegam	সাকিনাবেগম
courageous	ক্যারেজিয়াস
shashankar	শশাঙ্কর
suryanar	সূর্যনার
asmabegam	আসমাবেগম
mick	মিক
birendar	বিরেন্দর
dibrugarh	ডিব্রুগড়
chuck	চাক
tsitsikamma	টিতসিকাম্মা
firoja	ফিরোজা
africa	আফ্রিকা
servicos	সার্ভিস
paints	পেইন্টস
vora	ভোরা
di	ডি
bade	বাদে
vij	ভীজ
louhara	লোউহারা
bellerophon	বেলোরোফোন
mahinur	মাহিনুর
kerr	কের
bulidasi	বুলুদাসী
mangalam	মানগালাম
depalsar	দেপালসর
bodhonchandra	বোধনচন্দ্র
matsushita	মাতসুশিটা
alstom	অলস্টম
panse	পান্সে
majel	মজেল
commonwealth	কমনওয়েলথ
krovi	ক্রোভি
baalde	বলদে
mohanlal	মোহনলাল
shahadat	সাহাবাত
mantucharan	মন্টুচরন
tajuddin	তাজুদ্দিন
nishu	নিশু
clicksoftware	ক্লিকসফটওয়ার
ono	ওনো
vikhe	ভিখে
murtuja	মুরতুজা
valdez	ভালদেহ
mahasaphik	মহঃসফিক
burleigh	বার্লেগ
apurba	অপূর্ব্ব
marlborough	মালবোরো
bhubani	ভুবনী
swann	সোন্ন
muktaram	মুক্তারাম
dudhani	দুধানি
rajnandini	রাজনন্দিনী
badesha	বাদশা
nurulhak	নূরুলহক
hickory	হিকোরী
nuri	নুরি
bruja	বুর্জ
chihuahuan	চিহুয়াহুয়ান
kenilworth	কেনিলওয়ার্থ
jagadish	জগদীশ
russ	রুস
raghudeb	রঘুদেব
lei	লেই
de	দে
bart	বার্ট
thakurdasi	ঠাকুরদাসী
bhacch	ভাছ
egmore	এগমোড়
dhirenchandra	ধীরেনচন্দ্র
warnaweera	ওয়ারনায়েরা
akhilkumar	অখিলকুমার
good	গুড
riyal	রিয়াল
unitech	ইউনিটেক
aktar	আকতার
aatish	আতীশ
masjid	মসজিদ
dhanibala	ধনীবালা
race	রেস
debchandra	দেবচন্দ্র
masada	মাসাদা
sabur	সাবুর
college	কোলেজ
parbati	পারবতী
piaau	পিউ
banashri	বনশ্রী
ghaus	ঘাউস
nirabala	নীরবালা
unichem	ইউনিকেম
clinton	ক্লিটন
teton	টেটন
ranu	রাণু
menara	মেনারা
kurani	কুড়ানী
university	উনিভারসিটি
verne	ভার্নে
surupa	সুরুপা
xanthi	এক্সান্থি
fortress	ফোট্রেস
ito	আইটো
hans	হ্যান্স
kakirde	কাকিরদে
parash	পারশ
kayaking	ক্যাকিং
dipakranjan	দীপকরঞ্জন
digod	দিগোদ
muktarali	মুক্তারআলি
debari	দেবারি
bimanbihari	বিমানবিহারী
wickramasinghe	ইউক্রামাসিংহ
ambrish	অম্বরিশ
d	ডি
shalima	শালিমা
presidency	প্রেসিডেন্সি
adirondack	আদিরোন্ডাক
susmita	সুস্মিত
chubu	চুবু
yamini	যামিনী
talwarkar	তলওয়ারকার
mahamuda	মহামুদা
hansford	হান্সফোর্ড
kumbhu	কুম্ভু
cosier	কাসির
bachaspati	বাচস্পতি
jenolen	জেনোলেন
mostak	মোস্তাক
stead	স্টেড
rekhabala	রেখাবালা
naoki	নাওকি
manirul	মণিরুল
pittsburg	পিট্টসবার্গ
paramesh	পরমেশ
agarkar	অগরকার
tarakdasi	তারকদাসী
kameng	কামেঙ্গ
winfre	উইনফ্রে
wernecke	ওয়েরনেক
phul	ফুল
gauri	গৌরী
ajmulla	আজমুল্লা
bindki	বিন্দকি
chiranjit	চিরঞ্জিত
truckin	ট্রুকিন
droupadi	দ্রৌপদী
ambur	আমবুর
sakhina	সখীনা
kroger	ক্রোজের
uttaranchal	উত্তরাঞ্চল
bhadbhade	ভাদভাদে
babul	বাবুল
tambura	টাম্বুরা
mahimranjan	মহিমরঞ্জন
fer	ফার
manjur	মনজুর
paul	পাউল
blue	ব্লু
somalia	সোমালিয়া
diamonds	ডায়মণ্ডস
rubi	রুবি
bhojo	ভোজো
kajalbala	কাজলবালা
chromium	ক্রোমিয়াম
hareram	হরেরাম
exmouth	এক্সমাউথ
budin	বুদীন
bradley	ব্রাডলে
italy	ইটালী
siemens	সিমেন্স
juli	জুলি
dhot	ধোট
gregory	গ্রেগোরি
gandhaswari	গন্ধেশ্বরী
barya	বারয়া
saifuddin	সাইফুদ্দিন
jalgaon	জলগাঁও
pharmaceuticals	ফার্মাসিউটিক্যাল
cholamandalam	চোলামন্ডালম
bhatsa	ভাটসা
brothers	ব্রাদারস
balailal	বলাইলাল
wadekar	ওয়াদেকর
lebali	লেবআলি
shabistari	সাবিস্টেরি
nijati	নীযতী
charvattur	চারভাটুর
dineshkumar	দীনেশকুমার
bennett	বেনেট
parbin	পারবিন
rakhra	রাখরা
colbert	কোলবার্ট
ashiskumar	আশিসকুমার
coventry	কোভেন্ট্রি
vattenfall	ভাতিনফল
communications	কমিউনিকেশনস
darsi	দারসি
harper	হারপের
kanokkanti	কনককান্তি
khatu	খাটু
pintukumar	পিন্টুকুমার
santhal	সান্থাল
brossnan	ব্রোসনন
burren	বুরেন
nisha	নিশা
rinke	রিঙ্কে
gopalchand	গোলাপচাঁদ
theatre	থেট্রি
illulkhair	ইলুখের
nikat	নিকাত
vitthala	বিঠঠল
sudip	সুদীপ
delaware	দেলাওয়ার
bilkesh	বিলকেশ
prasad	প্রাসাদ
dhuni	ধুনী
krishnamurthy	কৃষ্ণমূর্তি
naharun	নাহানুর
logie	লোজিক
ahemabibi	আহেমাবিবি
noel	নোইল
nagendra	নাগেন্দর
sikar	সিকার
princess	প্রিন্সেস
walawe	ওলাউই
farid	ফরিদ
sakal	সাকাল
astatine	অ্যাসটেটিন
seli	সেলি
apraa	অপর্রা
karim	করিম
nilmuni	নীলমুনি
neemuch	নিমুচ
jackson	জ্যাকসন
marmoles	মারমোলেস
rasida	রাসিদা
masood	মাসোদ
sambora	সম্বরা
koil	কয়েল
asrafali	আসরাফআলি
garner	গারনার
imajzuddin	ইমাজদ্দিন
bedade	বেদাদে
tulsiram	তুলসীরাম
jermaine	জারমেইন
indrabati	ইন্দ্রবতী
kishanganj	কিশানগঞ্জ
bujubala	বুজুবালা
begampet	বেগমপেট
sitarabibi	সিতারাবিবি
chhindwara	ছিন্দওয়ারা
nagarmal	নাগরমল
ottis	ওটিস
ekkribala	এককড়িবালা
brown	ব্রোন
mahibanu	মহিবানু
fletcher	ফ্লেচার
mehmuda	মেহমুদা
colley	কোলে
basantalal	বসন্তলাল
jon	জন
swantana	স্বান্তনা
stewart	স্টেওয়ার্ড
sobayjan	সোবেজান
amre	আম্রে
nitaicharan	নিতাইচরণ
anderson	আন্দারসন
fidel	ফিদেল
mutha	মুথা
shahid	শাহিদ
iwami	ইওয়ামি
baijanti	বৈজন্তী
roberts	রোবার্ট
pashuram	পশুরাম
gaura	গৌরা
sukulal	শুকুলাল
zuiho	জুইহো
susmita	সুসমিতা
jaigarh	জয়গড়
sariman	সরিমন
mupariwa	মুপারিয়া
chandradeb	চন্দ্রদেব
fatehgarh	ফতেহগড়
laxmibala	লক্ষ্মীবালা
gabriel	গাব্রিয়েল
olimahammd	ওলিমহম্মদ
keeratpur	কেরাতপুর
bibhuti	বিভূতি
mackay	ম্যাকি
kuntibala	কুন্তীবালা
queens	কুইন্স
morshed	মোরশেদ
da	ডা
taro	টারো
scooters	স্কুটারস
churachandpur	চুরাচন্দপুর
basi	বাসি
sakilabanu	সাকিলাবানু
bayard	বেয়ার্ড
bhimpada	ভীমপদ
evergreen	এভারগ্রীন
fajalhak	ফজলহক
datta	দত্ত
samran	সামরান
ahmedabad	আহমেদবাদ
udayshankar	উদয়শংকর
akashi	আকাশি
