Spingarn	ಸ್ಪಿನ್‌ಗರ್ನ್
Medal	ಮೆಡಲ್
Radhavallabh	ರಾಧಾವಲ್ಲಭ
Hari	ಹರಿ
bhoomi	ಭೂಮಿ
Hanumaan	ಹನುಮಾನ್
Graham	ಗ್ರಹಾಂ
Stevenson	ಸ್ಟೆವೆನ್‌ಸನ್
Dharuna	ಧರುಣಾ
Kamalesh	ಕಮಲೇಶ್
Essam	ಎಸ್ಸಾಂ
Atmajyoti	ಆತ್ಮಜ್ಯೋತಿ
Chris	ಕ್ರಿಸ್
Pringle	ಪ್ರಿಂಗಲ್
Cleavant	ಕ್ಲೀವಾಂಟ್
Madihah	ಮದಿಹಾ
Erzherzog	ಎಜರ್‌ಜೋಗ್
Karl	ಕಾರ್ಲ್
Dosti	ದೋಸ್ತೀ
Aaditya	ಆದಿತ್ಯ
Ahlam	ಅಹ್ಲಮ್
Valarie	ವೈಲೆರೀ
Nairi	ನೈರಿ
Raahi	ರಾಹಿ
Agori Khas	ಅಗೋರಿಖಾಸ್
Ellenabad	ಎಲೆನಾಬಾದ್
Virginia	ವರ್ಜೀನಿಯಾ
reel	ರೀಲ್
Pannalal	ಪನ್ನಾಲಾಲ್
Ghosh	ಘೋಷ್
Joshi	ಜೋಶಿ
Patankar	ಪಠಣಕರ್
Ekalinga	ಏಕಲಿಂಗ
Order	ಆರ್ಡರ್
of	ಆಫ್
Ushakov	ಉಶಾಕೊವ್
Thayer	ಥಾಯೆರ್
Shakti	ಶಕ್ತಿ
Aaj	ಆಜ್
Kal	ಕಲ್
Jaisal	ಜೈಸಲ್
Peak	ಪೀಕ್
International	ಇಂಟರ್ನ್ಯಾಷನಲ್
Limited	ಲಿಮಿಟೆಡ್
Pyar	ಪ್ಯಾರ್
Ki	ಕಿ
Baazi	ಬಾಜೀ
Mohammad	ಮೊಹಮ್ಮದ್
Abul	ಅಬ್ದುಲ್
Kalam	ಕಲಾಂ
Azad	ಆಜಾದ್
Paatekar	ಪಾಟೇಕರ್
Rebaba	ರೆಬಾಬಾ
shark	ಶಾರ್ಕ್
Kanad	ಕಾನಡ
Santa	ಸಂತಾ
Susana	ಸುಸಾನಾ
Baton	ಬತನ್
Baton	ಬತನ್
Mein	ಮೆ
Hamari	ಹಮಾರಿ
Kismat	ಕಿಸ್ಮತ್
Bindki	ಬಿಂದಕೀ
Road	ರೋಡ್
Ambardekar	ಅಂಬಾರ್ಡೆಕರ್
Abdul	ಅಬ್ದುಲ್
qadeer	ಖಾದಿರ್
Asambhav	ಅಸಂಭವ್
Gwinett's	ಗ್ವಿನೆಟ್ಸ್
Family	ಫ್ಯಾಮಿಲಿ
Rajendramohan	ರಾಜೇಂದ್ರಮೋಹನ
Rubaina	ರುಬೈನಾ
Westmoreland	ವೆಸ್ಟ್‌ಮೋರ್‌ಲ್ಯಾಂಡ್
Dhaulpur	ಧಾಲ್ಪುರ್
Prahlaad	ಪ್ರಹ್ಲಾದ್
Vitthal	ವಿಠ್ಠಲ
Zamana	ಜಮಾನಾ
Kala	ಕಾಲಾ
Dhandha	ಧಂಧಾ
Gorey	ಗೋರೆ
Log	ಲೋಗ್
pricewaterhouse	ಪ್ರೈಸ್‌ವಾಟರ್‌ಹೌಸ್
coopers	ಕೂಪರ್ಸ್
Galaxy	ಗ್ಯಾಲೆಕ್ಸಿ
Entertainment	ಎಂಟರ್‌ಟೈನ್ಮೆಂಟ್
Marianne	ಮೇರಿಯನ್
Williamson	ವಿಲಿಯಂಸನ್
Ganadhyaksha	ಗಣಾಧ್ಯಕ್ಷ
Tulsa	ಟುಲ್ಸಾ
Intl	ಇಂಟರ್ನ್ಯಾಷನಲ್
Business	ಬ್ಯುಸಿನೆಸ್
Machines	ಮೆಶಿನ್ಸ್
Charles	ಚಾರ್ಲ್ಸ್
Coventry	ಕೋವೆಂಟ್ರಿ
Gundar	ಗುಂದರ್
Reservoir	ರಿಜರ್ವಾಯರ್
Atindar	ಅತೀಂದರ್
Madpuri	ಮಾದ್‌ಪುರಿ
Dulip	ದುಲಿಪ್
Liyanage	ಲಿಯನಗೆ
Shatrumardan	ಶತ್ರುಮರ್ಧನ್
Maqil	ಮಖಿಲ್
Shanbaree	ಶಂಬರೀ
Dhul-Nun	ದುಲ್-ನುನ್
al-Misri	ಅಲ್-ಮಿಸ್ರಿ
Achalda	ಅಚಲ್ಡಾ
Akhand	ಅಖಂಡ್
Saubhagyawati	ಸೌಭಾಗ್ಯವತಿ
Zander	ಜನ್ದರ್
Pinquillo	ಪಿಂಕ್ವಿಲೊ
Gordon	ಗೋರ್ಡನ್
Greenidge	ಗ್ರೀನಿಜ್
Order	ಆರ್ಡರ್
of	ಆಫ್
Christ	ಕ್ರಿಸ್ಟ್
Kahani	ಕಹಾನಿ
Phoolvati	ಪೂಲ್ವತಿ
Ki	ಕಿ
Teleri	ಟೆಲೇರಿ
Oonch	ಊಂಚ್
Neech	ನೀಚ್
Mandeep	ಮನ್‌ದೀಪ್
Mitchell	ಮಿಚೆಲ್
Mario	ಮಾರಿಯೊ
Chhupa	ಛುಪಾ
Rustam	ರುಸ್ತಮ್
Protactinium	ಪ್ರೊಟ್ಯಾಕ್ಟಿನಿಯಂ
Broadwater	ಬ್ರಾಡ್‌ವಾಟರ್
Coyle	ಕೊಯ್ಲಿ
Bagri	ಬಾಗ್ರಿ
Sajjanpur	ಸಜ್ಜನ್‌ಪುರ್
Achintya	ಅಚಿಂತ್ಯ
Shifaa	ಶೀಫಾ
Jurmana	ಜುರ್ಮಾನಾ
Veerkar	ವೀರ್ಕರ್
Amlai	ಅಮಲಾಯ್
The	ದ
Doon	ದೂನ್
School,	ಸ್ಕೂಲ್,
Dehradun	ಡೆಹ್ರಾಡೂನ್
Kaushik	ಕೌಶಿಕ್
Ardara	ಆರ್ಡರಾ
Cyndi	ಸಿಂಡಿ
Ununbium	ಯುನುನ್ಬಿಯಂ
Deeptendu	ದೀಪ್ತೇಂದು
Bombay	ಬಾಂಬೆ
Masjid	ಮಸ್ಜಿದ್
Kapani	ಕಪಾನಿ
Yogeshvar	ಯೋಗೇಶ್ವರ್
Supreme	ಸುಪ್ರೀಂ
Petro	ಪೆಟ್ರೋ
Venugopal	ವಿನೂಗೋಪಾಲ್
Rao	ರಾವ್
Nimish	ನಿಮಿಷ್
Golden	ಗೋಲ್ಡನ್
gate	ಗೇಟ್
Jhinuk	ಝಿನುಕ್
Formidable	ಫೊರ್ಮಿಡಬಲ್
Jody	ಜೋಡೀ
Suranjana	ಸುರಂಜನ
Keene	ಕೀನ್
Ajaatashatru	ಅಜಾತಶತ್ರು
Kuntee	ಕುಂತೀ
Keena	ಕೀನಾ
Madhuchanda	ಮಧುಚಂದಾ
Jawad	ಜಾವದ್
Jawab	ಜವಾಬ್
Mahaamuni	ಮಹಾಮುನಿ
Fort	ಫೋರ್ಟ್
tejon	ತೆಜೋನ್
Jawan	ಜವಾನ್
Pannagesh	ಪನ್ನಗೇಶ್
Kathleen	ಕ್ಯಾಥ್ಲೀನ್
Hans	ಹನ್ಸ್
Christian	ಕ್ರಿಶ್ಚಿಯನ್
Andersen	ಆಂಡರ್ಸ್‌ಸನ್
Award	ಅವಾರ್ಡ್
Black	ಬ್ಲ್ಯಾಕ್
Hughes	ಹಗ್ಗೇಸ್
Medal	ಮೆಡಲ್
Hare	ಹರೆ
Kanch	ಕಾಂಚ್
Ki	ಕಿ
Churiyan	ಚುಡಿಯಾ
Kananbala	ಕಾನಂಬಲ
Juma'	ಜುಮಾ
Banani	ಬನಾನಿ
Banahi	ಬನಾಹಿ
University	ಯುನಿವರ್ಸಿಟಿ
of	ಆಫ್
London	ಲಂಡನ್
Sean	ಸೀನ್
Ervine	ಇರ್ವಿನ್
Jan	ಜಾನ
Pahechan	ಪಹಚಾನ್
Jerold	ಜೆರೋಲ್ಡ್
Lalitkishore	ಲಲಿತ್‌ಕಿಶೋರ್
Halwara	ಹಲ್ವಾರಾ
Vishwambhar	ವಿಶ್ವಂಭರ್
Upadyay	ಉಪಾಧ್ಯಾಯ್
Ricky	ರಿಕಿ
Ponting	ಪಾಂಟಿಂಗ್
Rufiyaa	ರುಫಿಯಾ
Alipur	ಅಲಿಪುರ್
Duar	ದುವರ್
Hatyare	ಹತ್ಯಾರೆ
Sheikh	ಶೇಕ್
Ruzbehan	ರಜ್‌ಬೆಹನ್
NALCO	ನ್ಯಾಲ್ಕೊ
Bayer	ಬಾಯರ್
Badawi	ಬದಾವಿ
The	ದ
Goulandris	ಗೌಲಂಡ್ರಿಸ್
Museum	ಮ್ಯೂಸಿಯಂ
of	ಆಫ್
Natural	ನ್ಯಾಚುರಲ್
History	ಹಿಸ್ಟರಿ
Aalingan	ಆಲಿಂಗನ್
Lal	ಲಾಲ್
Bangla	ಬಂಗಲಾ
Joseph	ಜೋಸೆಫ್
Stalin	ಸ್ಯಾಲಿನ್
Ulaanbaatar	ಉಲ್ಲಾನ್‌ಬಟೋರ್
Nat	ನ್ಯಾಟ್
Fert	ಫರ್ಟ್
Karambelkar	ಕರಾಂಬೇಲ್ಕರ್
Bilwmangal	ಬಿಲ್ವಮಂಗಲ್
Naatu	ನಾತು
Guajira	ಗೌಜೀರಾ
Sun	ಸನ್
Pharma	ಫಾರ್ಮಾ
Vidrumalataa	ವಿದ್ರುಮಲತಾ
Nehra	ನೆಹ್ರಾ
Bandagi	ಬಂದಗೀ
Franc	ಫ್ರಾಂಕ್
Mayin	ಮಾಯಿನ್
Larkin	ಲಾರ್ಕಿನ್
Vanamaataa	ವನಮಾತಾ
Nageshwar	ನಾಗೇಶ್ವರ
Jyotirlinga	ಜ್ಯೋತಿರ್ಲಿಂಗ
Panchwin	ಪಂಚವಿನ್
Manzil	ಮಂಜಿಲ್
Bahamas	ಬಹಾಮಾಸ್
Hasina	ಹಸೀನಾ
Maan	ಮಾನ್
Jayegi	ಜಾಯೆಗಿ
Chhatwal	ಛತ್ತವಾಲ್
Kohima	ಕೋಹಿಮಾ
Boordhi-Zaffer	ಬೂರ್ದಿ-ಝಫರ್
Roj	ರೋಜ್
Kennedy	ಕೆನೆಡಿ
Arsikere	ಅರಸೀಕೆರೆ
Junction	ಜಂಕ್ಷನ್
Druhin	ದ್ರುಹಿಣ್
Detective	ಡಿಟೆಕ್ಟಿವ್
Janoo	ಜಾನೂ
Gavin	ಗವಿನ್
Hamilton	ಹ್ಯಾಮಿಲ್ಟನ್
Calder	ಕಾಲ್ಡರ್
Murari	ಮುರಾರಿ
Anise	ಅನೈಸ್
Samjhauta	ಸಂಜೌತಾ
Waheed	ವಹೀದ್
Agni	ಅಗ್ನಿ
Chakra	ಚಕ್ರ
Nerys	ನೆರಿಸ್
Gurudwara	ಗುರುದ್ವಾರ
Bauli	ಬೌಲಿ
Sahib	ಸಾಹಿಬ್
Amrit	ಅಮೃತ್
Manthan	ಮಂಥನ್
Ghatprabha	ಘಟಪ್ರಭಾ
Paap	ಪಾಪ್
Ki	ಕಿ
Duniya	ದುನಿಯಾ
Rashi	ರಾಶಿ
Amergin	ಅಮೆರ್ಜಿನ್
Shubhang	ಶುಭಾಂಗ್
Rangila	ರಂಗೀಲಾ
Ratan	ರತನ್
Vivechan	ವಿವೇಚನ್
Ajay	ಅಜಯ್
Sunaharaa	ಸುನಹರಾ
Cody	ಕೋಡಿ
Krashnaa	ಕೃಷ್ಣಾ
Chhinda	ಛಿಂದಾ
Abdul	ಅಬ್ದುಲ್
raheem	ರಹೀಂ
Arshad	ಅರ್ಷಾದ್
Pervez	ಪರ್ವೇಜ್
Anaikuttam	ಅನೈಕುಟ್ಟಮ್
Reservoir	ರಿಜರ್ವಾಯರ್
