Hajgiri	ஹாஜ்கிரி
Helgoland	ஹெல்கோலாண்ட்
Chekov	செகாவ்
Spingarn	ஸ்பின்கார்ன்
Medal	மெடல்
Basere	பசேரே
Ki	கி
Hoor	ஹூர்
Rugby	ரக்பி
Shirin	ஷிரின்
Tridev	டிரைதேவ்
Ackland	ஆக்லாண்ட்
Art	ஆர்ட்
Museum	மியூஸியம்
Kamalesh	கமலேஷ்
Essam	எஸ்ஸாம்
Sidney	சிட்னி
Ekachakra	எகாசக்ரா
Cleavant	கிளீவண்ட்
Madihah	மதிஹா
Tibor	திபோர்
Banno	பன்னோ
Aaditya	ஆதித்யா
Ahlam	அஹ்லாம்
Wilton	வில்டன்
Gurudwara	குருத்வாரா
Betma	பேட்மா
Sahib	சாஹிப்
Kolhapur	கொல்ஹாபூர்
Tarzan	டார்ஸன்
And	அண்ட்
Cobra	கோப்ரா
Raahi	ராஹி
Agori	அகோரி
Khas	காஸ்
Fort	ஃப்போர்ட்
vancouver	வான்காவர்
Virginia	வெரிஜீனியா
reel	ரீல்
Maati	மாட்டி
Maange	மாங்கெ
Khoon	கூன்
Pannalal	பன்னாலால்
Ghosh	கோஷ்
Chameli	சமேலி
Memsaab	மேம்சாப்
Dick	டிக்
Bucharest	புகரெஸ்ட்
Aoife	ஐஓஃப்
Bull	புல்
riding	ரைடிங்
Meijer	மெய்ஜர்
Thayer	தயேர்
Kaun	கோன்
Hai	ஹை
Woh	வோ
Suhaymah	சுஹைமா
Tony	டோனி
Aakhri	ஆக்ரி
Adalat	அதாலத்
Jaisal	ஜேய்சல்
Mere	மேரெ
Humsafar	ஹம்சாஃப்பர்
Pyar	பியார்
Ki	கி
Baazi	பாஸி
Kanak	கனக்
Mohammad	மொஹம்மத்
Abul	அபுல்
Kalam	கலாம்
Azad	ஆசாத்
Bundesverdienstkreuz	புண்டஸ்வெர்டீன்ஸ்ட்க்ரூஸ்
Anatomy	அனாடாமி
Gemplus	கெம்பிளஸ்
International	இன்டர்நெஷனல்
Santa	சான்டா
Susana	சூசன்னா
Esmak	அஸ்மாக்
Baton	பதோன்
Baton	பதோன்
Mein	மெயின்
Hamari	ஹமாரி
Kismat	கிஸ்மத்
Bindki	பிண்ட்கி
Road	ரோட்
