Spingarn Medal 	स्पिनगार्न मेडल 
Hari bhoomi 	हरी भूमि 
Graham Stevenson 	ग्रैहम स्टीवंसन 
Ackland Art Museum 	अकलैंड आर्ट म्युज़ियम 
Effie Awards 	एफी अवार्ड्‍स 
Warren Wisneski 	वॉरेन विसनेस्की 
Shree Ram Bharat Milap 	श्री राम भरत मिलाप 
Bornhem fort 	बॉर्नहेम फोर्ट 
Bedard Zamana Kya Jane 	बेदर्द ज़माना क्या जाने 
Abbott India 	एबॉट इंडिया 
Irfan Bhatti 	इरफान भट्टी 
Gurudwara Betma Sahib 	गुरूद्वारा बेटमा साहिब 
Adas Road 	आदस रोड 
Virginia reel 	वर्जीनिया रील 
Inteqam Ki Aag 	इंतिक़ाम की आग 
Aravalli Road 	अरावली रोड 
Water Polo 	वाटर पोलो 
Aakhri Adalat 	आखिरी अदालत 
University of Colorado 	यूनिवर्सिटी ऑफ कोलोरैडो 
Dainik bhaskar 	दैन‍िक भास्कर 
Pyar Ki Baazi 	प्यार की बाज़ी 
Mohammad Abul Kalam Azad 	मौलाना अब्दुल कलाम आज़ाद 
Naughty Boy 	नॉटी बॉय 
Khaled Mashud 	खालिद मशूद 
Perin over 	पेरीन ओवर 
Order of Sikatuna 	ऑडर ऑफ सिकाटुना 
Kala Dhandha Gorey Log 	काला धंधा गोरे लोग 
Rock Lake Baptist 	रॉक लेक बैपटिस्ट 
Mahadev Verma 	महादेवी वर्मा 
Brevard Worship Center 	ब्रेवार्ड वर्शिप सेंटर 
Captain Barry 	कैप्टन बैरी 
Shikhar par 	शिखर पर 
Bocher Memorial Prize 	बॉचर मेमोरियल प्राइज़ 
Walt Disney 	वॉल्ट डिज़्नी 
Calvary Baptist 	क्लेवरी बैपटिस्ट 
Intl Business Machines 	इंटल बिज़नेस मशीन्स 
Charles Coventry 	चार्ल्स कॉवेंट्री 
Khuda Kasam 	खुदा कसम 
Herschelle Gibbs 	हरशेले गिब्स 
Fort douaumont 	फोर्ट डॉमोंट 
Andy Pycroft 	एण्डी पाइक्रोफ्ट 
University College London 	यूनिवर्सिटी कॉलेज लंडन 
Chhindwara Junction 	छिंदवाड़ा जंक्शन 
Bagri Sajjanpur 	बागरी सज्जनपुर 
Hum Tum Aur Who 	हम तुम और वो 
Karsan Ghavri 	कर्सन घावरी 
Opto Circuits 	ऑप्टो सर्किट्स 
Noma Prize for Literature 	नोमा प्राइज़ फॉर लिट्रेचर 
Waqt Ki Deewar 	वक्त की दीवार 
Ahmed Kamal 	अहमद कमाल 
Jawaharlal Nehru 	जवाहरलाल नेहरू 
Vishvesvaraya Dam 	विश्वेसवराया डैम 
Preet Na Jane Reet 	प्रीत न जाने रीत 
Supreme Petro 	सुप्रीम पेट्रो 
Fort pearsall 	फोर्ट पेअरसैल 
Venugopal Rao 	विणुगोपाल राव 
Aap Ki Maarzi 	आप की मर्ज़ी 
Nippon Mining Holdings 	निप्पॉन माइनिंग होल्डिंग्स 
Prix Medicis 	प्रिक्स मेडिसिस 
Fort tejon 	फोर्ट टेजॉन 
Kyoto Prize 	क्योटो प्राइज़ 
Jane Anjane 	जाने अनजाने 
Muhammad Madani Miya Ashrafi al-Jilani 	मोहम्मद मदानी मियाँ अशरफी अल-जिलानी 
Ashapurna Devi 	आशापूर्णा देवी 
Hughes Medal 	ह्युजेस मेडल 
Hare Kanch Ki Churiyan 	हरे काँच की चुड़ियाँ 
Shiv Ratri 	शिव रात्रि 
Deep Dasgupta 	दीप दासगुप्ता 
Gurudwara Tibbi Sahib 	गुरूद्वारा टिब्बी साहिब 
Maut Ka Toofan 	मौत का तूफान 
Joseph Stalin 	जोसफ स्टेलिन 
Banqiao Dam 	बैंकियाओ डैम 
LeoNardo Di Caprio 	लियोनार्डो डी कैप्रियो 
Garnett Kruger 	गर्नेट क्रुगर 
Sant Gyaneshwar 	संत ज्ञानेश्वर 
Babu Meman 	बाबू मेमन 
Express Scripts 	एक्सप्रेस स्क्रिप्ट्स 
Raj Tilak 	राज तिलक 
International Paper 	इंटरनेशनल पेपर 
Jet Airways 	जेट एयरवेज़ 
Actress Kyon Bani 	एक्ट्रेस क्यों बनी 
Hasina Maan Jayegi 	हसीना मान जाएगी 
Roj Kennedy 	रोज कैनेडी 
Arsikere Junction 	अरसिकेरी जंक्शन 
Michael Landon 	मिशेल लंदन 
Dublin Writers Museum 	डब्ल‍िन राइटर्स म्युज़ियम 
Do Ankhen 	दो आँखें 
Havells India 	हॉवेल्स इंडिया 
Fort townsend 	फोर्ट टाउनसेंड 
Gurudwara Bauli Sahib 	गुरूद्वारा बाउली साहिब 
Brooke Walker 	ब्रूक वॉकर 
Delta Air Lines 	डेल्टा एयर लाइन्स 
Jack Nicholson 	जेक निकोलसन 
Mohsin Khan 	मोहसिन खान 
Grant Bradburn 	ग्रांट ब्रैडबर्न 
Abdul raheem 	अब्दुल रहीम 
Thomas Paine 	थॉमस पेन 
Royal Academy of Arts 	रॉयल एकेडमी ऑफ आर्ट्स 
Anaikuttam Reservoir 	अनइकुट्‍टम रिज़रवायर 
David Lloyd 	डेविड लॉएड 
Andhon Ki Duniya 	अंधों की दुनिया 
Aftab Ahmed 	आफताब अहमद 
Radha Aur Sita 	राधा और सीता 
Great Sandy 	ग्रेट सैंडी 
Richard Burton 	रिचर्ड बरटॉन 
Newbery Honor 	न्यूबेरी हॉनर 
Milan Malpensa 	मिलान मालपेन्सा 
Marlon Black 	मार्लोन ब्लैक 
Scotia Sea 	स्कॉटिया सी 
Sheikh Shebeli 	शेख़ शबेली 
University of Portsmouth 	यूनिवर्सिटी ऑफ पोर्ट्समाउथ 
Helle Joel Osment 	हेले जोएल ऑसमेंट 
Do Dushman 	दो दुश्मन 
Baghdad Ki Raten 	बगदाद की रातें 
Aduz zahir 	अदुज़ ज़हीर 
Jab Pyar Kise Se Hota Hai 	जब प्यार किसी से होता है 
The morning quick 	द मॉर्निंग क्व‍िक 
Jimmy Cook 	जिम्मी कुक 
Bill Lawry 	बिल लॉरी 
Kevin Duers 	केविन डुअर्स 
Kahani Phoolvati Ki 	कहानी फूलवती की 
Bhim Garjana 	भीम गर्जना 
Hafizur Rahman 	हफिज़ुर रहमान 
Ross Perot 	रॉस पीरॉट 
Raat Ke Rahi 	रात के राही 
Shahid Anwar 	शाहिद अनवर 
Emirates tower One 	एमीरेट्स टॉवर वन 
Bawa Muhaiyaddeen 	बाबा मुहइयाद्दीन 
High angle battery 	हाई एंगल बैटरी 
David White 	डेविड व्हाइट 
San Pablo Bay 	सैन पाब्लो बे 
Gola Barood 	गोला बारूद 
Ian Macewen 	इयान मैकवेन 
Umashankar Joshi 	उमाशंकर जोशी 
Stuart Williams 	स्टुअर्ट विलियम्स 
Ravi Ratnayeke 	रवि रत्नायके 
Groupe Caisse Dépargme 	ग्रुप कैस डेपॉर्मे 
Fort san felipe del morro 	फोर्ट सैन फेलिप डेल मॉरो 
Evergreen Community 	एवरग्रीन कम्युनिटी 
Orchards Community 	ऑर्चर्ड्स कम्युनिटी 
Harvey Awards 	हार्वे अवार्ड्‍स 
Saeed Azad 	सईद आज़ाद 
Steve Wonder 	स्टीव वॉन्डर 
Nazar Ka Shikar 	नज़र का शिकार 
Shriram TransFi 	श्रीराम ट्रांसफ़ी 
Four Continents Figure skating Champions 	फोर कॉनटिनेंट्‍स फिगर स्केटिंग चैंपियन्स 
Jacob Oram 	जेकब ऑरम 
Internet Initiative Japan 	इंटरनेट इनीशिएटिव जापान 
Fighter Sheila 	फाइटर शीला 
Allah Rakha 	अल्लाह रखा 
Colorado Kettle River 	कोलोरैडो केटल रिवर 
Bruce Medal 	ब्रूस मेडल 
Porttipahta reservoir 	पोर्टीपहटा रिज़रवायर 
Football World Cup 	फुटबॉल वर्ल्ड कप 
Insaaf Main Karoonga 	इंसाफ मैं करूँगा 
Fort cornwallis 	फोर्ट कार्नवॉलिस 
Major League Lacrosse Community Service Award 	मेजर लीग लैक्रोस कम्युनिटी सर्विस अवार्ड 
Crimean campaigns 	क्रिमेन कैम्पेन्स 
